ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
3028,K014,2.150.898,41.432.794,BUS -135--,la Vall d'Hebron
3029,K014,2.143.493,41.432.767,BUS -135--,Montbau
3030,K014,2.177.085,414.127,BUS -V23--,el Camp de l'Arpa del Clot
3031,K014,2.185.349,41.401.132,BUS -V23--,el Fort Pienc
3032,K015,2.208.729,4.139.973,NITBUS -N28--,Diagonal Mar i el Front Marítim del Poblenou
3033,K014,219.592,41.384.955,BUS -V21--,la Barceloneta
3034,K015,2.172.375,41.401.304,NITBUS -N1-N9--,la Sagrada Família
3035,K014,2.189.717,41.378.463,BUS -47-59-D20--,la Barceloneta
3036,K015,2.105.797,41.387,NITBUS -N12--,Pedralbes
3037,K014,216.271,41.383.443,BUS -55-120-L95-H16-D50-E95--,Sant Antoni
3038,K014,2.183.822,41.380.949,BUS -BCTE--,la Barceloneta
3039,K014,2.197.582,41.386.539,BUS -BCTE--,la Barceloneta
3040,K014,2.146.642,41.369.309,BUS -BCTO--,el Poble-sec
3041,K015,2.171.015,4.138.741,NITBUS -N5--,la Dreta de l'Eixample
3042,K014,2.130.939,41.369.224,BUS -LH2-V1--,la Bordeta
3043,K014,2.126.043,41.372.612,BUS -V1--,Sants - Badal
3044,K014,2.186.327,41.395.402,BUS -6--,el Fort Pienc
3045,K014,2.174.305,41.429.202,BUS -34-132-H6-V27-V29--,Vilapicina i la Torre Llobeta
3046,K014,2.167.239,41.375.721,BUS -H14--,el Raval
3047,K014,2.151.598,41.432.795,BUS -V21--,la Vall d'Hebron
3048,K015,2.149.854,41.388.859,NITBUS -N12--,l'Antiga Esquerra de l'Eixample
3049,K014,2.199.648,41.426.336,BUS -136--,la Verneda i la Pau
3050,K015,213.503,41.394.374,NITBUS -N0--,Sant Gervasi - Galvany
3051,K014,2.200.287,41.400.191,BUS -V25--,el Poblenou
3052,K015,2.149.257,41.420.539,NITBUS -N4--,el Coll
3053,K015,2.158.028,41.381.624,NITBUS -N1-N13-N14-N15-N16-N17-N2-N18-N28--,Sant Antoni
3054,K014,2.147.667,41.321.643,BUS -88-89--,la Marina del Prat Vermell
3055,K014,2.176.943,41.372.759,BUS -88-89--,el Raval
3056,K015,2.196.366,41.388.408,NITBUS -N28--,la Vila Olímpica del Poblenou
3057,K015,2.215.383,41.409.319,NITBUS -N28--,Diagonal Mar i el Front Marítim del Poblenou
3058,K014,2.212.478,41.415.699,BUS -B25-H14--,el Besòs i el Maresme
3059,K015,2.2071,41.414.919,NITBUS -N11--,Provençals del Poblenou
3060,K015,2.205.206,4.141.257,NITBUS -N11--,Provençals del Poblenou
3061,K016,2.148.436,4.137.518,AEROBUS -A1-A2--,Hostafrancs
3062,K014,216.033,41.376.562,BUS -91--,Sant Antoni
3063,K015,2.197.231,4.140.213,NITBUS -N11--,el Poblenou
3064,K014,2.152.369,41.424.384,BUS -86--,el Carmel
3065,K014,2.174.939,41.390.208,BUS -B24--,la Dreta de l'Eixample
3066,K014,2.110.827,41.383.879,BUS -M14--,la Maternitat i Sant Ramon
3067,K014,2.157.505,41.429.532,BUS -86--,Horta
3068,K014,2.146.726,41.362.974,BUS -23--,el Poble-sec
3069,K014,2.177.497,4.140.228,BUS -V21--,la Sagrada Família
3070,K015,2.177.497,4.140.228,NITBUS -N0--,la Sagrada Família
3071,K014,2.172.863,41.390.218,BUS -39-47-B24-B25-B20-V17--,la Dreta de l'Eixample
3072,K014,2.113.468,41.401.311,BUS -130--,Sarrià
3073,K014,2.187.833,41.448.179,BUS -62-96-97-104--,la Trinitat Nova
3074,K014,2.204.503,41.439.259,BUS -11-V33--,el Bon Pastor
3075,K014,2.191.334,41.418.242,BUS -34-126-B24--,la Sagrera
3076,K015,2.134.296,4.137.552,NITBUS -N14-N2-N28--,Sants
3077,K014,2.110.091,41.415.805,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
3078,K014,2.112.632,41.416.723,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
3079,K014,2.116.728,414.178,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
3080,K015,2.178.226,41.462.334,NITBUS -N3--,Ciutat Meridiana
3081,K014,217.815,41.463.585,BUS -62-76-104-183--,Ciutat Meridiana
3082,K014,2.174.303,41.462.367,BUS -183--,Ciutat Meridiana
3083,K014,2.131.062,4.137.352,BUS -70--,Sants - Badal
