CODI_CAPA,CAPA_GENERICA,NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ID,id
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168769,41.399925,Verdaguer (Passeig Sant Joan)-,2,7,Eixample,la Dreta de l'Eixample,127,127
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.156061,41.425567,El Carmel (Plaça Pastrana)-,7,37,Horta-Guinardó,el Carmel,128,128
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.211467,41.453914,Església Major (Mossèn Camil Rossell)-,,,,,129,129
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.217345,41.441134,Llefià (Ronda Sant Antoni)-,,,,,130,130
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.234742,41.440083,Gorg (Antoni Bori)-,,,,,131,131
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.130828,41.397781,FGC - LES TRES TORRES-,5,24,Sarrià-Sant Gervasi,les Tres Torres,132,132
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.09993,41.371996,Can Vidalet (Maladeta)-,,,,,133,133
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.142118,41.355684,Foc (Fira Gran Via (Pavellons 6·7·8))-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,134,134
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.124146,41.361637,Provençana (Aprestadora / Rosell)-,,,,,135,135
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.14486,41.342901,Zona Franca (Carrer A / Carrer 2)-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,136,136
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.118107,41.385621,Palau Reial (Facultat de Ciències)-,4,20,Les Corts,la Maternitat i Sant Ramon,137,137
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173585,41.380953,Liceu (La Rambla / Teatre Liceu)-,1,2,Ciutat Vella,el Barri Gòtic,138,138
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.202967,41.403539,Poblenou (Pujades / Bilbao)-,10,68,Sant Martí,el Poblenou,139,139
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.197293,41.399236,Llacuna (Pujades / Ciutat de Granada)-,10,68,Sant Martí,el Poblenou,140,140
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.185845,41.382396,Barceloneta (Plaça Pau Vila)-,1,4,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",141,141
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.177091,41.448119,Roquetes (Vidal i Guasch)-,8,50,Nou Barris,les Roquetes,142,142
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.209721,41.444808,Can Peixauet (Avinguda Santa Coloma)-,,,,,143,143
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.155041,41.423673,El Carmel (Mercat)-,7,37,Horta-Guinardó,el Carmel,144,144
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.160597,41.395388,Diagonal (Pg. de Gràcia (escala mecànica))-,2,7,Eixample,la Dreta de l'Eixample,145,145
K011,Transports i serveis relacionats,Tramvia,2.193551,41.408024,"TRAMVIA (T5, T6) - CAN JAUMANDREU-",10,71,Sant Martí,Provençals del Poblenou,146,146
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.128194,41.341726,Parc Logístic (Av. Parc Logístic / C. Número Vint-i-cinc)-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,147,147
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.088938,41.31644,Parc Nou (Riu Llobregat / Riu Ebre)-,,,,,148,148
K003,Transports i serveis relacionats,RENFE,2.167379,41.481319,RENFE - MONTCADA I REIXAC-STA. MARIA-,,,,,149,149
K003,Transports i serveis relacionats,RENFE,2.181952,41.393385,RENFE - ARC DE TRIOMF-,2,5,Eixample,el Fort Pienc,150,150
K003,Transports i serveis relacionats,RENFE,2.16875,41.387019,RENFE - CATALUNYA-,2,7,Eixample,la Dreta de l'Eixample,151,151
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.238419,41.444477,Pep Ventura (Avinguda Marquès de Mont-roig)-,,,,,152,152
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.110967,41.351449,Bellvitge (Rambla de la Marina / Trav. Industrial)-,,,,,153,153
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.100045,41.363552,Rambla Just Oliveras (Rambla Just Oliveras)-,,,,,154,154
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.10363,41.36809,Can Serra (Parc de les Planes)-,,,,,155,155
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.110159,41.368206,Florida (Blocs Florida)-,,,,,156,156
K004,Transports i serveis relacionats,Tren a l'aeroport,2.165256,41.39187,Tren AEROPORT - PASSEIG DE GRÀCIA-,2,7,Eixample,la Dreta de l'Eixample,157,157
K003,Transports i serveis relacionats,RENFE,2.021024,41.410017,RENFE - MOLINS DE REI-,,,,,158,158
K003,Transports i serveis relacionats,RENFE,2.249093,41.445856,RENFE - BADALONA-,,,,,159,159
K003,Transports i serveis relacionats,RENFE,2.187908,41.409832,RENFE - CLOT-,10,65,Sant Martí,el Clot,160,160
K003,Transports i serveis relacionats,RENFE,2.189397,41.410259,RENFE - CLOT-,10,65,Sant Martí,el Clot,161,161
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.09941,41.371491,Can Vidalet (Hortènsia)-,,,,,162,162
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.106899,41.373518,Pubilla Cases (Esteve Grau)-,,,,,163,163
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.128663,41.375646,Badal (Carrer de Sants)-,3,17,Sants-Montjuïc,Sants - Badal,164,164
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.135098,41.375678,Plaça de Sants (Plaça de Sants)-,3,18,Sants-Montjuïc,Sants,165,165
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.17719,41.424501,Maragall (Ramon Albó)-,9,62,Sant Andreu,el Congrés i els Indians,166,166
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.111546,41.38417,Zona Universitària (Avinguda Diagonal)-,4,20,Les Corts,la Maternitat i Sant Ramon,167,167
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.117983,41.386156,Palau Reial (Palau de Pedralbes)-,4,21,Les Corts,Pedralbes,168,168
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.135654,41.38214,Plaça del Centre (Plaça del Centre (muntanya))-,4,19,Les Corts,les Corts,169,169
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.142006,41.38111,Sants Estació (Av. Josep Tarradellas)-,3,18,Sants-Montjuïc,Sants,170,170
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.172495,41.382048,Liceu (La Rambla / Mercat de la Boqueria)-,1,1,Ciutat Vella,el Raval,171,171
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.16431,41.385843,METRO (L1) - Universitat-,2,10,Eixample,Sant Antoni,172,172
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.144579,41.41181,Vallcarca (Gomis)-,6,28,Gràcia,Vallcarca i els Penitents,173,173
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.167841,41.374856,Paral·lel (Fontrodona)-,3,11,Sants-Montjuïc,el Poble-sec,174,174
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.179651,41.400516,Monumental (Marina / Plaça de Toros)-,2,5,Eixample,el Fort Pienc,175,175
