"TYPE","LONGITUD","LATITUD","EQUIPAMENT","NOM_BARRI"
"K015","2.169135","41.397019","NITBUS -N9--","la Dreta de l'Eixample"
"K014","2.191887","41.435169","BUS -H4-V31--","Sant Andreu"
"K014","2.191493","41.435781","BUS -126--","Sant Andreu"
"K014","2.183553","41.389532","BUS -47-V17-H16-V15-V19--","Sant Pere, Santa Caterina i la Ribera"
"K014","2.12596","41.398462","BUS -68-V7--","les Tres Torres"
"K015","2.12596","41.398462","NITBUS -N7--","les Tres Torres"
"K015","2.124064","41.399974","NITBUS -N7--","les Tres Torres"
"K015","2.167197","41.375093","NITBUS -N0--","Sant Antoni"
"K014","2.133616","41.389654","BUS -6-7-33-34-63-67-E79-E30--","les Corts"
"K014","2.139105","41.359857","BUS -109-V3-H16--","la Marina de Port"
"K015","2.139105","41.359857","NITBUS -N1--","la Marina de Port"
"K014","2.141955","41.416297","BUS -27--","Vallcarca i els Penitents"
"K014","2.153194","41.438004","BUS -27-60-76-H4-M19--","Horta"
"K014","2.153516","41.437458","BUS -102-185-V25--","Horta"
"K014","2.201003","41.436498","BUS -11-60-H8-H4--","el Bon Pastor"
"K014","2.208063","41.439286","BUS -11-H4--","el Bon Pastor"
"K015","2.202103","41.419895","NITBUS -N8--","la Verneda i la Pau"
"K015","2.160105","41.38793","NITBUS -N3-N7-N8--","l'Antiga Esquerra de l'Eixample"
"K014","2.138216","41.412131","BUS -124-131-V17-V15-H4-V19--","el Putxet i el Farró"
"K014","2.180585","41.446491","BUS -60--","la Trinitat Nova"
"K014","2.135236","41.409411","BUS -123--","Sant Gervasi - la Bonanova"
"K014","2.160107","41.390229","BUS -63-H10--","l'Antiga Esquerra de l'Eixample"
"K015","2.143999","41.411396","NITBUS -N4--","el Putxet i el Farró"
"K015","2.143018","41.426922","NITBUS -N4--","Montbau"
"K015","2.199343","41.393056","NITBUS -N8--","la Vila Olímpica del Poblenou"
"K014","2.18757","41.394184","BUS -V21--","el Parc i la Llacuna del Poblenou"
"K014","2.152318","41.399595","BUS -27-V15-D40--","la Vila de Gràcia"
"K015","2.15116","41.389413","NITBUS -N12-N7--","l'Antiga Esquerra de l'Eixample"
"K014","2.166776","41.401294","BUS -V19--","la Dreta de l'Eixample"
"K015","2.166776","41.401294","NITBUS -N4--","la Dreta de l'Eixample"
"K015","2.169301","41.386889","NITBUS -N1--","la Dreta de l'Eixample"
"K015","2.194634","41.3832","NITBUS -N12-N28--","la Barceloneta"
"K015","2.143527","41.398597","NITBUS -N8--","Sant Gervasi - Galvany"
"K014","2.163015","41.432716","BUS -185--","Horta"
"K014","2.131275","41.428132","BUS -112--","Sant Genís dels Agudells"
"K015","2.210232","41.407055","NITBUS -N6--","Diagonal Mar i el Front Marítim del Poblenou"
"K014","2.190941","41.426348","BUS -34-126-H8-V31--","la Sagrera"
"K014","2.172839","41.381452","BUS -59-V13--","el Raval"
"K015","2.170151","41.385084","NITBUS -N9--","el Raval"
"K015","2.18032","41.39877","NITBUS -N2-N3-N7--","el Fort Pienc"
"K014","2.186235","41.443071","BUS -62-96-97-104--","la Prosperitat"
"K014","2.159266","41.421578","BUS -V23--","la Font d'en Fargues"
"K015","2.166054","41.394697","NITBUS -N9--","la Dreta de l'Eixample"
"K015","2.142934","41.425229","NITBUS -N4--","la Vall d'Hebron"
"K014","2.136701","41.397886","BUS -68-V11--","Sant Gervasi - Galvany"
"K015","2.133708","41.39773","NITBUS -N7--","Sant Gervasi - Galvany"
"K014","2.135393","41.400681","BUS -70-H6--","Sant Gervasi - la Bonanova"
"K015","2.135393","41.400681","NITBUS -N0--","Sant Gervasi - la Bonanova"
"K015","2.127749","41.403397","NITBUS -N8--","les Tres Torres"
"K014","2.201779","41.420094","BUS -33-H10--","la Verneda i la Pau"
"K015","2.149862","41.406149","NITBUS -N4--","el Putxet i el Farró"
"K014","2.159977","41.386171","BUS -54-V13--","l'Antiga Esquerra de l'Eixample"
"K014","2.145503","41.42279","BUS -19-H2--","la Teixonera"
