NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
Metro i línies urbanes FGC,2.138181,41.375381,METRO (L1) - Plaça de Sants-,Sants,91
Metro i línies urbanes FGC,2.145065,41.430648,METRO (L3) - Montbau-,Montbau,92
Metro i línies urbanes FGC,2.163267,41.379861,METRO (L2) - Sant Antoni-,el Raval,93
Metro i línies urbanes FGC,2.178576,41.443758,METRO (L4) - Via Júlia-,Verdun,94
Ferrocarrils Generalitat (FGC),2.158326,41.392331,FGC - PROVENÇA (C. de Provença)-,l'Antiga Esquerra de l'Eixample,95
Metro i línies urbanes FGC,2.210257,41.419929,METRO (L4) - Besòs-,el Besòs i el Maresme,96
Metro i línies urbanes FGC,2.070455,41.357319,METRO (L5) - Cornellà Centre-,,97
Metro i línies urbanes FGC,2.119222,41.375772,METRO (L5) - Collblanc-,,98
Metro i línies urbanes FGC,2.145645,41.384495,METRO (L5) - Entença-,la Nova Esquerra de l'Eixample,99
Metro i línies urbanes FGC,2.167645,41.430493,METRO (L5) - Vilapicina-,el Turó de la Peira,100
Metro i línies urbanes FGC,2.073141,41.303852,METRO (L9S) - Aeroport T2-,,101
Metro i línies urbanes FGC,2.20532,41.436231,METRO (L9NL10N) - Bon Pastor-,el Bon Pastor,102
Metro i línies urbanes FGC,2.163043,41.379015,Sant Antoni (Urgell)-,Sant Antoni,103
Metro i línies urbanes FGC,2.168813,41.389706,Passeig de Gràcia (Pau Claris)-,la Dreta de l'Eixample,104
Metro i línies urbanes FGC,2.173425,41.389386,Urquinaona (Plaça Urquinaona)-,la Dreta de l'Eixample,105
Metro i línies urbanes FGC,2.173855,41.389119,Urquinaona (Trafalgar)-,la Dreta de l'Eixample,106
Metro i línies urbanes FGC,2.183539,41.430506,Fabra i Puig (Passeig Fabra i Puig)-,Sant Andreu,107
Metro i línies urbanes FGC,2.183301,41.431517,Fabra i Puig (Sòcrates)-,Sant Andreu,108
Metro i línies urbanes FGC,2.183366,41.43085,Fabra i Puig (Renfe)-,Sant Andreu,109
Metro i línies urbanes FGC,2.207862,41.451175,Santa Coloma (Llorenç Serra)-,,110
Metro i línies urbanes FGC,2.163275,41.379017,Sant Antoni (Sant Antoni Abat)-,el Raval,111
Metro i línies urbanes FGC,2.08996,41.331296,El Prat Estació (Doctor Soler i Torrens)-,,112
Metro i línies urbanes FGC,2.144279,41.37511,Hostafrancs (Hostafrancs)-,Hostafrancs,113
Metro i línies urbanes FGC,2.14939,41.374273,Espanya (Exposició / Gran Via)-,el Poble-sec,114
Metro i línies urbanes FGC,2.159938,41.382757,Urgell (Villarroel / Sepúlveda)-,Sant Antoni,115
Ferrocarrils Generalitat (FGC),2.142754,41.398631,FGC - MUNTANER-,Sant Gervasi - Galvany,116
Metro i línies urbanes FGC,2.158254,41.382048,Urgell (Comte d'Urgell)-,la Nova Esquerra de l'Eixample,117
Metro i línies urbanes FGC,2.190955,41.442435,Torras i Bages (Palomar / costat mar)-,Sant Andreu,118
Metro i línies urbanes FGC,2.208486,41.45125,Santa Coloma (Plaça de la Vila)-,,119
Metro i línies urbanes FGC,2.218559,41.451527,Fondo (Mossèn Cinto Verdaguer)-,,120
Metro i línies urbanes FGC,2.163271,41.380684,Sant Antoni (Villarroel)-,Sant Antoni,121
Metro i línies urbanes FGC,2.148115,41.434981,Mundet (Can Marcet)-,la Vall d'Hebron,122
Metro i línies urbanes FGC,2.180732,41.459324,Torre Baró | Vallbona (Avinguda Escolapi Càncer)-,Torre Baró,123
Metro i línies urbanes FGC,2.106696,41.344386,Hospital de Bellvitge (Residència sanitària)-,,124
Metro i línies urbanes FGC,2.223313,41.442247,La Salut (Austràlia)-,,125
Metro i línies urbanes FGC,2.167657,41.389795,Passeig de Gràcia (Passeig de Gràcia / Gran Via)-,la Dreta de l'Eixample,126
Metro i línies urbanes FGC,2.168769,41.399925,Verdaguer (Passeig Sant Joan)-,la Dreta de l'Eixample,127
Metro i línies urbanes FGC,2.156061,41.425567,El Carmel (Plaça Pastrana)-,el Carmel,128
Metro i línies urbanes FGC,2.211467,41.453914,Església Major (Mossèn Camil Rossell)-,,129
Metro i línies urbanes FGC,2.217345,41.441134,Llefià (Ronda Sant Antoni)-,,130
Metro i línies urbanes FGC,2.234742,41.440083,Gorg (Antoni Bori)-,,131
Ferrocarrils Generalitat (FGC),2.130828,41.397781,FGC - LES TRES TORRES-,les Tres Torres,132
Metro i línies urbanes FGC,2.09993,41.371996,Can Vidalet (Maladeta)-,,133
Metro i línies urbanes FGC,2.142118,41.355684,Foc (Fira Gran Via (Pavellons 6·7·8))-,la Marina del Prat Vermell,134
Metro i línies urbanes FGC,2.124146,41.361637,Provençana (Aprestadora / Rosell)-,,135
Metro i línies urbanes FGC,2.14486,41.342901,Zona Franca (Carrer A / Carrer 2)-,la Marina del Prat Vermell,136
Metro i línies urbanes FGC,2.118107,41.385621,Palau Reial (Facultat de Ciències)-,la Maternitat i Sant Ramon,137
Metro i línies urbanes FGC,2.173585,41.380953,Liceu (La Rambla / Teatre Liceu)-,el Barri Gòtic,138
Metro i línies urbanes FGC,2.202967,41.403539,Poblenou (Pujades / Bilbao)-,el Poblenou,139
